time,skill,queue,dialing,acw,loginin,free,leave,yuzhan
08:10:53,7062,0,0,0,0,0,0,0
08:10:53,7020,0,1,0,4,0,4,0
08:10:58,7062,0,0,0,0,0,0,0
08:10:58,7020,0,1,0,4,0,4,0
08:11:03,7062,0,0,0,0,0,0,0
08:11:03,7020,0,1,0,4,0,4,0
08:11:08,7062,0,0,0,0,0,0,0
08:11:08,7020,0,1,0,4,0,4,0
08:11:13,7062,0,0,0,0,0,0,0
08:11:13,7020,0,1,0,4,0,4,0
08:11:18,7062,0,0,0,0,0,0,0
08:11:18,7020,0,1,0,4,0,4,0
08:11:23,7062,0,0,0,0,0,0,0
08:11:23,7020,0,1,0,4,0,4,0
08:11:28,7062,0,0,0,0,0,0,0
08:11:28,7020,0,1,0,4,0,4,0
08:11:33,7062,0,0,0,0,0,0,0
08:11:33,7020,0,1,0,4,0,4,0
08:11:38,7062,0,0,0,0,0,0,0
08:11:38,7020,0,1,0,4,0,4,0
08:11:43,7062,0,0,0,0,0,0,0
08:11:43,7020,0,1,0,4,0,4,0
08:11:48,7062,0,0,0,0,0,0,0
08:11:48,7020,0,1,0,4,0,4,0
08:11:53,7062,0,0,0,0,0,0,0
08:11:53,7020,0,1,0,4,0,4,0
08:11:58,7062,0,0,0,0,0,0,0
08:11:58,7020,0,1,0,4,0,4,0
08:12:03,7062,0,0,0,0,0,0,0
08:12:03,7020,0,1,0,4,0,4,0
08:12:08,7062,0,0,0,0,0,0,0
08:12:08,7020,0,1,0,4,0,4,0
08:12:13,7062,0,0,0,0,0,0,0
08:12:13,7020,0,1,0,4,0,4,0
08:12:18,7062,0,0,0,0,0,0,0
08:12:18,7020,0,1,0,4,0,4,0
08:12:23,7062,0,0,0,0,0,0,0
08:12:23,7020,0,1,0,4,0,4,0
08:12:28,7062,0,0,0,0,0,0,0
08:12:28,7020,0,1,0,4,0,4,0
08:12:33,7062,0,0,0,0,0,0,0
08:12:33,7020,0,1,0,4,0,4,0
08:12:38,7062,0,0,0,0,0,0,0
08:12:38,7020,0,1,0,4,0,4,0
08:12:43,7062,0,0,0,0,0,0,0
08:12:43,7020,0,1,0,4,0,4,0
08:12:48,7062,0,0,0,0,0,0,0
08:12:48,7020,0,1,0,4,0,4,0
08:12:53,7062,0,0,0,0,0,0,0
08:12:53,7020,0,1,0,4,0,4,0
08:12:58,7062,0,0,0,0,0,0,0
08:12:58,7020,0,1,0,4,0,4,0
08:13:03,7062,0,0,0,0,0,0,0
08:13:03,7020,0,1,0,4,0,4,0
08:13:08,7062,0,0,0,0,0,0,0
08:13:08,7020,0,1,0,4,0,4,0
08:13:13,7062,0,0,0,0,0,0,0
08:13:13,7020,0,1,0,4,0,4,0
08:13:18,7062,0,0,0,0,0,0,0
08:13:18,7020,0,1,0,4,0,4,0
08:13:22,7018,0,0,0,0,0,0,0
08:13:22,7053,0,0,0,1,0,1,0
08:13:23,7062,0,0,0,0,0,0,0
08:13:23,7020,0,1,0,4,0,4,0
08:13:27,7018,0,0,0,0,0,0,0
08:13:27,7053,0,0,0,1,0,1,0
08:13:28,7062,0,0,0,0,0,0,0
08:13:28,7020,0,1,0,4,0,4,0
08:13:32,7018,0,0,0,0,0,0,0
08:13:32,7053,0,0,0,1,0,1,0
08:13:33,7062,0,0,0,0,0,0,0
08:13:33,7020,0,1,0,4,0,4,0
08:13:37,7018,0,0,0,0,0,0,0
08:13:37,7053,0,0,0,1,0,1,0
08:13:38,7062,0,0,0,0,0,0,0
08:13:38,7020,0,1,0,4,0,4,0
08:13:42,7018,0,0,0,0,0,0,0
08:13:42,7053,0,0,0,1,0,1,0
08:13:43,7062,0,0,0,0,0,0,0
08:13:43,7020,0,1,0,4,0,4,0
08:13:47,7018,0,0,0,0,0,0,0
08:13:47,7053,0,0,0,1,0,1,0
08:13:48,7062,0,0,0,0,0,0,0
08:13:48,7020,0,1,0,4,0,4,0
08:13:52,7018,0,0,0,0,0,0,0
08:13:52,7053,0,0,0,1,0,1,0
08:13:53,7062,0,0,0,0,0,0,0
08:13:53,7020,0,1,0,4,0,4,0
08:13:57,7018,0,0,0,0,0,0,0
08:13:57,7053,0,0,0,1,0,1,0
08:13:58,7062,0,0,0,0,0,0,0
08:13:58,7020,0,1,0,4,0,4,0
08:14:02,7018,0,0,0,0,0,0,0
08:14:02,7053,0,0,0,1,0,1,0
08:14:03,7062,0,0,0,0,0,0,0
08:14:03,7020,0,1,0,4,0,4,0
08:14:07,7018,0,0,0,0,0,0,0
08:14:07,7053,0,0,0,1,0,1,0
08:14:08,7062,0,0,0,0,0,0,0
08:14:08,7020,0,1,0,4,0,4,0
08:14:12,7018,0,0,0,0,0,0,0
08:14:12,7053,0,0,0,1,0,1,0
08:14:13,7062,0,0,0,0,0,0,0
08:14:13,7020,0,1,0,4,0,4,0
08:14:17,7018,0,0,0,0,0,0,0
08:14:17,7053,0,0,0,1,0,1,0
08:14:18,7062,0,0,0,0,0,0,0
08:14:18,7020,0,1,0,4,0,4,0
08:14:22,7018,0,0,0,0,0,0,0
08:14:22,7053,0,0,0,1,0,1,0
08:14:23,7062,0,0,0,0,0,0,0
08:14:23,7020,0,1,0,4,0,4,0
08:14:27,7018,0,0,0,0,0,0,0
08:14:27,7053,0,0,0,1,0,1,0
08:14:28,7062,0,0,0,0,0,0,0
08:14:28,7020,0,1,0,4,0,4,0
08:14:32,7018,0,0,0,0,0,0,0
08:14:32,7053,0,0,0,1,0,1,0
08:14:33,7062,0,0,0,0,0,0,0
08:14:33,7020,0,1,0,4,0,4,0
08:14:37,7018,0,0,0,0,0,0,0
08:14:37,7053,0,0,0,1,0,1,0
08:14:38,7062,0,0,0,0,0,0,0
08:14:38,7020,0,1,0,4,0,4,0
08:14:42,7018,0,0,0,0,0,0,0
08:14:42,7053,0,0,0,1,0,1,0
08:14:43,7062,0,0,0,0,0,0,0
08:14:43,7020,0,1,0,4,0,4,0
08:14:47,7018,0,0,0,0,0,0,0
08:14:47,7053,0,0,0,1,0,1,0
08:14:48,7062,0,0,0,0,0,0,0
08:14:48,7020,0,1,0,4,0,4,0
08:14:52,7018,0,0,0,0,0,0,0
08:14:52,7053,0,0,0,1,0,1,0
08:14:53,7062,0,0,0,0,0,0,0
08:14:53,7020,0,1,0,4,0,4,0
08:14:57,7018,0,0,0,0,0,0,0
08:14:57,7053,0,0,0,1,0,1,0
08:14:58,7062,0,0,0,0,0,0,0
08:14:58,7020,0,1,0,4,0,4,0
08:15:02,7018,0,0,0,0,0,0,0
08:15:02,7053,0,0,0,1,0,1,0
08:15:03,7062,0,0,0,0,0,0,0
08:15:03,7020,0,1,0,4,0,4,0
08:15:07,7018,0,0,0,0,0,0,0
08:15:07,7053,0,0,0,1,0,1,0
08:15:08,7062,0,0,0,0,0,0,0
08:15:08,7020,0,1,0,4,0,4,0
08:15:12,7018,0,0,0,0,0,0,0
08:15:12,7053,0,0,0,1,0,1,0
08:15:13,7062,0,0,0,0,0,0,0
08:15:13,7020,0,1,0,4,0,4,0
08:15:17,7018,0,0,0,0,0,0,0
08:15:17,7053,0,0,0,1,0,1,0
08:15:18,7062,0,0,0,0,0,0,0
08:15:18,7020,0,0,0,4,0,4,0
08:15:22,7018,0,0,0,0,0,0,0
08:15:22,7053,0,0,0,1,0,1,0
08:15:23,7062,0,0,0,0,0,0,0
08:15:23,7020,0,0,0,4,0,4,0
08:15:27,7018,0,0,0,0,0,0,0
08:15:27,7053,0,0,0,1,0,1,0
08:15:28,7062,0,0,0,0,0,0,0
08:15:28,7020,0,0,0,4,0,4,0
08:15:32,7018,0,0,0,0,0,0,0
08:15:32,7053,0,0,0,1,0,1,0
08:15:33,7062,0,0,0,0,0,0,0
08:15:33,7020,0,0,0,4,0,4,0
08:15:37,7018,0,0,0,0,0,0,0
08:15:37,7053,0,0,0,1,0,1,0
08:15:38,7062,0,0,0,0,0,0,0
08:15:38,7020,0,0,0,4,0,4,0
08:15:42,7018,0,0,0,0,0,0,0
08:15:42,7053,0,0,0,1,0,1,0
08:15:43,7062,0,0,0,0,0,0,0
08:15:43,7020,0,0,0,4,0,4,0
08:15:47,7018,0,0,0,0,0,0,0
08:15:47,7053,0,0,0,1,0,1,0
08:15:48,7062,0,0,0,0,0,0,0
08:15:48,7020,0,0,0,4,0,4,0
08:15:52,7018,0,0,0,0,0,0,0
08:15:52,7053,0,0,0,1,0,1,0
08:15:53,7062,0,0,0,0,0,0,0
08:15:53,7020,0,0,0,4,0,4,0
08:15:57,7018,0,0,0,0,0,0,0
08:15:57,7053,0,0,0,1,0,1,0
08:15:58,7062,0,0,0,0,0,0,0
08:15:58,7020,0,0,0,4,0,4,0
08:16:02,7018,0,0,0,0,0,0,0
08:16:02,7053,0,0,0,1,0,1,0
08:16:03,7062,0,0,0,0,0,0,0
08:16:03,7020,0,0,0,4,0,4,0
08:16:07,7018,0,0,0,0,0,0,0
08:16:07,7053,0,0,0,1,0,1,0
08:16:08,7062,0,0,0,0,0,0,0
08:16:08,7020,0,0,0,4,0,4,0
08:16:12,7018,0,0,0,0,0,0,0
08:16:12,7053,0,0,0,1,0,1,0
08:16:13,7062,0,0,0,0,0,0,0
08:16:13,7020,0,0,0,4,0,4,0
08:16:17,7018,0,0,0,0,0,0,0
08:16:17,7053,0,0,0,1,0,1,0
08:16:18,7062,0,0,0,0,0,0,0
08:16:18,7020,0,0,0,4,0,4,0
08:16:22,7018,0,0,0,0,0,0,0
08:16:22,7053,0,0,0,1,0,1,0
08:16:23,7062,0,0,0,0,0,0,0
08:16:23,7020,0,0,0,4,0,4,0
08:16:27,7018,0,0,0,0,0,0,0
08:16:27,7053,0,0,0,1,0,1,0
08:16:28,7062,0,0,0,0,0,0,0
08:16:28,7020,0,0,0,4,0,4,0
08:16:32,7018,0,0,0,0,0,0,0
08:16:32,7053,0,0,0,1,0,1,0
08:16:33,7062,0,0,0,0,0,0,0
08:16:33,7020,0,0,0,4,0,4,0
08:16:37,7018,0,0,0,0,0,0,0
08:16:37,7053,0,0,0,1,0,1,0
08:16:38,7062,0,0,0,0,0,0,0
08:16:38,7020,0,0,0,4,0,4,0
08:16:42,7018,0,0,0,0,0,0,0
08:16:42,7053,0,0,0,1,0,1,0
08:16:43,7062,0,0,0,0,0,0,0
08:16:43,7020,0,0,0,4,0,4,0
08:16:47,7018,0,0,0,0,0,0,0
08:16:47,7053,0,0,0,1,0,1,0
08:16:48,7062,0,0,0,0,0,0,0
08:16:48,7020,0,0,0,4,0,4,0
08:16:52,7018,0,0,0,0,0,0,0
08:16:52,7053,0,0,0,1,0,1,0
08:16:53,7062,0,0,0,0,0,0,0
08:16:53,7020,0,0,0,4,0,4,0
08:16:57,7018,0,0,0,0,0,0,0
08:16:57,7053,0,0,0,1,0,1,0
08:16:58,7062,0,0,0,0,0,0,0
08:16:58,7020,0,0,0,4,0,4,0
08:17:02,7018,0,0,0,0,0,0,0
08:17:02,7053,0,0,0,1,0,1,0
08:17:03,7062,0,0,0,0,0,0,0
08:17:03,7020,0,0,0,4,0,4,0
